id_municipio,ano,populacao,densidade,area,taxa_homicidio_doloso_por_100k,taxa_tentativa_de_homicidio_por_100k,taxa_lesao_corporal_dolosa_por_100k,taxa_latrocinio_por_100k,taxa_total_de_estupro_por_100k,taxa_total_de_roubo_outros_por_100k,taxa_roubo_de_veiculo_por_100k,taxa_roubo_a_banco_por_100k,taxa_roubo_de_carga_por_100k,taxa_furto_outros_por_100k,taxa_furto_de_veiculo_por_100k
3542800,2019,3188.5,9.4975,335.74425,31.362709738121374,0.0,439.07793633369926,0.0,31.362709738121374,0.0,31.362709738121374,0.0,0.0,439.07793633369926,0.0
3542800,2020,3169.6666666666665,9.441666666666666,335.74916666666667,0.0,0.0,347.0396466505416,0.0,94.64717635923861,31.54905878641287,0.0,0.0,0.0,378.58870543695446,0.0
3542800,2021,3150.8333333333335,9.385833333333334,335.75408333333337,0.0,0.0,126.95054218460724,0.0,31.73763554615181,0.0,0.0,0.0,0.0,285.63871991536627,31.73763554615181
3542909,2010,12135.0,25.73,471.6,0.0,24.721878862793574,766.3782447466007,0.0,0.0,57.684384013185,0.0,0.0,0.0,964.1532756489494,0.0
3542909,2011,12039.5,25.5275,471.59608333333335,16.611985547572573,8.305992773786286,872.1292412475601,0.0,41.52996386893143,91.36592051164915,0.0,0.0,0.0,539.8895302961087,0.0
3542909,2012,11944.0,25.325,471.5921666666667,0.0,16.744809109176156,870.7300736771601,0.0,58.606831882116545,75.3516409912927,0.0,0.0,0.0,1004.6885465505693,25.117213663764232
3542909,2013,11848.5,25.122500000000002,471.58825,8.439886905515467,33.759547622061866,869.308351268093,0.0,42.19943452757733,75.9589821496392,16.879773811030933,0.0,8.439886905515467,962.1471072287632,59.07920833860826
3542909,2014,11753.0,24.92,471.58433333333335,17.01693184718795,8.508465923593976,672.1688079639241,0.0,25.525397770781925,25.525397770781925,17.01693184718795,0.0,0.0,901.8973879009615,17.01693184718795
3542909,2015,11657.5,24.7175,471.5804166666667,8.578168561012223,17.156337122024446,600.4717992708556,0.0,0.0,51.469011366073346,8.578168561012223,0.0,0.0,651.940810636929,8.578168561012223
3542909,2016,11562.0,24.515,471.5765,0.0,0.0,536.239404947241,0.0,8.649022660439371,172.98045320878742,34.596090641757485,0.0,0.0,1219.5121951219512,155.68240788790868
3542909,2017,11466.5,24.3125,471.57258333333334,8.721056992107442,0.0,279.07382374743815,0.0,34.88422796842977,87.21056992107442,34.88422796842977,0.0,8.721056992107442,811.0583002659922,34.88422796842977
3542909,2018,11371.0,24.11,471.5686666666667,0.0,0.0,404.53785946706535,8.79430129276229,0.0,105.53161551314749,0.0,0.0,0.0,782.6928150558438,17.58860258552458
3542909,2019,11275.5,23.9075,471.56475,17.737572613187883,17.737572613187883,390.2265974901335,0.0,17.737572613187883,44.34393153296971,8.868786306593941,0.0,0.0,753.8468360604851,35.475145226375766
3542909,2020,11180.0,23.705000000000002,471.56083333333333,0.0,8.944543828264758,322.0035778175313,0.0,26.833631484794275,98.38998211091236,8.944543828264758,0.0,0.0,688.7298747763864,53.66726296958855
3542909,2021,11084.5,23.5025,471.55691666666667,9.021606748161847,0.0,216.51856195588434,0.0,9.021606748161847,117.28088772610403,18.043213496323695,0.0,0.0,595.4260453786819,54.129640488971084
3543006,2010,18269.0,26.19,697.5,5.473753352673929,21.895013410695714,410.5315014505446,0.0,65.68504023208715,65.68504023208715,0.0,0.0,0.0,771.7992227270239,5.473753352673929
3543006,2011,18298.833333333332,26.233333333333334,697.5,16.394487808876704,10.929658539251136,502.76429280555226,0.0,76.50760977475797,98.36692685326024,0.0,0.0,0.0,551.9477562321824,10.929658539251136
3543006,2012,18328.666666666668,26.276666666666667,697.5,0.0,16.36780271341796,480.1222129269268,5.4559342378059865,38.19153966464191,49.103408140253876,0.0,0.0,0.0,621.9765031098824,27.279671189029933
3543006,2013,18358.5,26.32,697.5,5.447068115586785,16.341204346760357,397.6359724378353,0.0,38.129476809107494,38.129476809107494,0.0,0.0,0.0,626.4128332924803,5.447068115586785
3543006,2014,18388.333333333332,26.363333333333333,697.5,5.438230762258679,21.752923049034717,348.04676878455547,0.0,10.876461524517358,21.752923049034717,0.0,0.0,0.0,228.4056920148645,27.191153811293393
3543006,2015,18418.166666666668,26.406666666666666,697.5,0.0,0.0,407.20665285180394,0.0,70.58248649431268,16.288266114072155,5.429422038024052,0.0,0.0,314.90647820539505,21.71768815209621
3543006,2016,18448.0,26.450000000000003,697.5,0.0,5.420641803989592,466.175195143105,0.0,86.73026886383347,21.682567215958368,5.420641803989592,0.0,0.0,460.7545533391154,37.94449262792715
3543006,2017,18477.833333333332,26.493333333333336,697.5,10.823779844317967,5.411889922158983,557.4246619823753,0.0,64.94267906590781,5.411889922158983,0.0,0.0,0.0,411.3036340840827,75.76645891022577
3543006,2018,18507.666666666668,26.53666666666667,697.5,0.0,5.403166255425679,480.8817967328854,0.0,81.0474938313852,16.20949876627704,0.0,0.0,0.0,605.1546206076761,27.015831277128395
3543006,2019,18537.5,26.580000000000002,697.5,5.394470667565745,5.394470667565745,409.97977073499663,0.0,97.10047201618342,53.94470667565745,0.0,0.0,0.0,399.19082939986515,21.57788267026298
3543006,2020,18567.333333333332,26.623333333333335,697.5,16.157409069692292,0.0,285.4475602312305,5.385803023230764,80.78704534846146,26.92901511615382,5.385803023230764,0.0,0.0,323.14818139384585,32.314818139384585
3543006,2021,18597.166666666668,26.666666666666668,697.5,0.0,5.377163187940815,150.56056926234282,0.0,21.50865275176326,37.640142315585706,0.0,0.0,0.0,241.97234345733668,16.131489563822445
3543105,2010,4273.0,28.81,148.3,0.0,0.0,280.83313831032063,0.0,0.0,70.20828457758016,0.0,0.0,0.0,1310.5546454481628,0.0
3543105,2011,4300.916666666667,28.99833333333333,148.30266666666668,23.250857375365715,0.0,255.75943112902286,0.0,0.0,0.0,0.0,0.0,0.0,906.783437639263,69.75257212609715
