id_municipio,municipio,ano,populacao,densidade,area
3553302,Tambaú,2019,21677.75,38.582499999999996,561.7909999999999
3553302,Tambaú,2020,21596.833333333332,38.43833333333333,561.79
3553302,Tambaú,2021,21515.916666666668,38.29416666666667,561.789
3553302,Tambaú,2022,21435.0,38.15,561.788
3553401,Tanabi,2010,24055.0,32.25,745.8
3553401,Tanabi,2011,24155.833333333332,32.38,745.9181666666666
3553401,Tanabi,2012,24256.666666666668,32.51,746.0363333333332
3553401,Tanabi,2013,24357.5,32.64,746.1545
3553401,Tanabi,2014,24458.333333333332,32.77,746.2726666666666
3553401,Tanabi,2015,24559.166666666668,32.9,746.3908333333333
3553401,Tanabi,2016,24660.0,33.03,746.509
3553401,Tanabi,2017,24760.833333333332,33.160000000000004,746.6271666666667
3553401,Tanabi,2018,24861.666666666668,33.29,746.7453333333333
3553401,Tanabi,2019,24962.5,33.42,746.8634999999999
3553401,Tanabi,2020,25063.333333333332,33.550000000000004,746.9816666666666
3553401,Tanabi,2021,25164.166666666668,33.68,747.0998333333333
3553401,Tanabi,2022,25265.0,33.81,747.218
3553500,Tapiraí,2010,8012.0,10.61,755.1
3553500,Tapiraí,2011,8010.666666666667,10.608333333333333,755.1
3553500,Tapiraí,2012,8009.333333333333,10.606666666666666,755.1
3553500,Tapiraí,2013,8008.0,10.605,755.1
3553500,Tapiraí,2014,8006.666666666667,10.603333333333333,755.1
3553500,Tapiraí,2015,8005.333333333333,10.601666666666667,755.1
3553500,Tapiraí,2016,8004.0,10.6,755.1
3553500,Tapiraí,2017,8002.666666666667,10.598333333333333,755.1
3553500,Tapiraí,2018,8001.333333333333,10.596666666666666,755.1
3553500,Tapiraí,2019,8000.0,10.594999999999999,755.1
3553500,Tapiraí,2020,7998.666666666667,10.593333333333334,755.1
3553500,Tapiraí,2021,7997.333333333333,10.591666666666667,755.1
3553500,Tapiraí,2022,7996.0,10.59,755.1
3553609,Tapiratiba,2010,12737.0,57.23,222.5
3553609,Tapiratiba,2011,12660.25,56.89833333333333,222.44925
3553609,Tapiratiba,2012,12583.5,56.56666666666666,222.3985
3553609,Tapiratiba,2013,12506.75,56.235,222.34775
3553609,Tapiratiba,2014,12430.0,55.90333333333333,222.297
3553609,Tapiratiba,2015,12353.25,55.571666666666665,222.24625
3553609,Tapiratiba,2016,12276.5,55.239999999999995,222.19549999999998
3553609,Tapiratiba,2017,12199.75,54.90833333333333,222.14475
3553609,Tapiratiba,2018,12123.0,54.57666666666667,222.094
3553609,Tapiratiba,2019,12046.25,54.245,222.04325
3553609,Tapiratiba,2020,11969.5,53.913333333333334,221.9925
3553609,Tapiratiba,2021,11892.75,53.58166666666666,221.94174999999998
3553609,Tapiratiba,2022,11816.0,53.25,221.891
3553658,Taquaral,2010,2726.0,50.58,53.9
3553658,Taquaral,2011,2717.0833333333335,50.415,53.89933333333333
3553658,Taquaral,2012,2708.1666666666665,50.25,53.898666666666664
3553658,Taquaral,2013,2699.25,50.085,53.897999999999996
3553658,Taquaral,2014,2690.3333333333335,49.92,53.897333333333336
3553658,Taquaral,2015,2681.4166666666665,49.755,53.89666666666667
3553658,Taquaral,2016,2672.5,49.59,53.896
3553658,Taquaral,2017,2663.5833333333335,49.425,53.89533333333333
3553658,Taquaral,2018,2654.6666666666665,49.26,53.894666666666666
3553658,Taquaral,2019,2645.75,49.095,53.894000000000005
3553658,Taquaral,2020,2636.8333333333335,48.93,53.89333333333334
3553658,Taquaral,2021,2627.9166666666665,48.765,53.89266666666667
3553658,Taquaral,2022,2619.0,48.6,53.892
3553708,Taquaritinga,2010,53988.0,90.95,593.6
